,null_deg,sixty_deg,ninety_deg,straight_angle,twofourty_deg,labels
0,0.48876917836280503,0.396884141953847,0.41241017678426756,0.3012111291429298,0.4537799745019909,R
1,0.5277961057221133,0.8601788797247447,0.7060764119731456,0.5798165199759271,0.6683190543916508,M
2,0.8857442642489182,0.9065840240175604,0.7596232817170828,0.6926882438126302,0.5396129421397453,M
3,0.18307548544242994,0.2440269399884273,0.5231947804852072,0.243559131012277,0.031802179746994653,R
4,0.4723173512509883,0.4893431144714345,0.4534499963225698,0.30318841710668976,0.20599569449111935,R
5,0.43372453731321503,0.22230564690696453,0.04448468109294477,0.3005264574081766,0.43617153440167705,R
6,0.5351363808822072,0.9485739228693189,0.8422989312596454,0.8415682806630239,0.9015196188509154,M
7,0.4797217967075342,0.8501869025797528,0.43256132715793405,0.7568882170994016,0.731257329503236,M
8,0.5688740432412646,0.22330679939109124,0.3417859325529822,0.3869243263576072,0.4784322398457394,R
9,0.029071897519771232,0.44774872469095933,0.0710822947516067,0.04943274568251162,0.38835948297772477,R
10,0.7510714123270531,0.5202477359711903,0.43278793665679394,0.8520034465893069,0.9515024875412723,M
11,0.15962352827911117,0.4614189788886407,0.12403560565846138,0.20401882660110074,0.4293931176285997,R
12,0.3285648575403628,0.24860881282383518,0.5633791664968102,0.2622852028891319,0.07035722423605652,R
13,0.9709843700596601,0.9142361160028012,0.7565996354603821,0.7223668971372406,0.4180346794297583,M
14,0.42608814663344663,0.33816274568660154,0.05125805586995714,0.5015140575103277,0.16128182708922845,R
15,0.5780147501272115,0.5645297093300432,0.6598605769578942,0.7267168492976026,0.9513416779557591,M
16,0.44603202646401807,0.7444437496051166,0.8159215229736388,0.6523686311840511,0.7790823136337128,M
17,0.7410227078206442,0.4957456625470419,0.7254581189840245,0.49336736195224695,0.9859964790632934,M
18,0.6064083729933538,0.964267098865139,0.49844558605690203,0.9675740282706944,0.4763747676755348,M
19,0.8443989150248952,0.6106258238483981,0.5233334195057416,0.4253442069987519,0.7234354661556284,M
20,0.2747936426701443,0.313213705689858,0.20001963902251682,0.17300942140164846,0.3927550794743705,R
21,0.049216583950179346,0.06852055805155013,0.18742477002081398,0.4023319164292907,0.2955149498513222,R
22,0.8227995428666056,0.7328124201853035,0.9922980000156758,0.9444771341365075,0.49436070934851756,M
23,0.9830483826759855,0.5336753596661606,0.9658549293531031,0.6550103502440381,0.7915290537911837,M
24,0.3003381515777383,0.2983396922333326,0.39072573400378297,0.05242992642615025,0.35675371464970473,R
25,0.5087711718063723,0.05749981784052655,0.3012464492915382,0.20495487534827947,0.2452169982304558,R
26,0.34818918824602774,0.3921023961934973,0.2626746607556714,0.5111145716055343,0.5074431612582272,R
27,0.5046553296889591,0.7314320975495715,0.8376450229941789,0.43248744206011813,0.7686427456812603,M
28,0.7388369205398233,0.6940476664082496,0.787122350215957,0.8156071214125449,0.9456676516915141,M
29,0.5411671832508009,0.6411475657720186,0.7978275415747769,0.8382605194064773,0.8510384252930123,M
