,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.14789590433102118,0.14897487491405778,0.27039934973369034,0.16218322007790847,0.03884219179799901,R
1,0.42777878940766273,0.7876625688090728,0.7180445354849179,0.4794197069309642,0.8355266634434484,M
2,0.3515976081099202,0.019906034800481594,0.009961623959172638,0.3547454473258583,0.22265706592015522,R
3,0.07526682303059723,0.03394408630612538,0.549089761547571,0.2694417596733842,0.26902662741429995,R
4,0.40421150466200656,0.3566131285200995,0.09018741148969009,0.3538681470655036,0.3635699723702968,R
5,0.26235147284724997,0.37636527534525077,0.3516226534911445,0.4263686813686887,0.09692818491761326,R
6,0.46651252176864105,0.18680608895791143,0.3347748007150524,0.24390842930019538,0.18002216646466085,R
7,0.038354530353901344,0.270306075742472,0.00961598709822134,0.5728794576070573,0.13535796979358738,R
8,0.4102674681533977,0.47941865990451477,0.4355406731609627,0.30043410269731846,0.21419995595602043,R
9,0.381757571851813,0.21046254629307154,0.20626482781358113,0.41050957410715855,0.4550833689689453,R
10,0.017886606812821854,0.4959913345852809,0.01912990269278859,0.09150820756508515,0.14875200474491349,R
11,0.7749944706117732,0.43186634013618735,0.5638678265436032,0.6889366819860652,0.949002928603371,M
12,0.011299331939918883,0.5374643174776716,0.2818283302586361,0.3205158272532272,0.24667026004375853,R
13,0.9051216077969046,0.5634411858177003,0.7806373927370922,0.8156094005942722,0.7473285899353821,M
14,0.32716360382688886,0.29242159709335674,0.2628126586160935,0.5415387159072372,0.053948185639494384,R
15,0.4844038442393376,0.159024845708528,0.2633289886481997,0.22307666194110234,0.3718950071654188,R
16,0.5650284545648676,0.2849421186639725,0.12039777585904635,0.07169426492584503,0.3096208114058013,R
17,0.6122491719654227,0.459748363102129,0.47838305955942617,0.6845774103838607,0.8982225561617703,M
18,0.5263763186334374,0.9008324202273559,0.9608836921179471,0.5563777096510503,0.8621475811262046,M
19,0.025250712504626557,0.31304189885453365,0.29989554502019616,0.19277095428631674,0.3351395512314694,R
20,0.7987936146087626,0.6795178749270073,0.581108925689063,0.4514747133006514,0.6774141664906848,M
21,0.9690892845718344,0.832568405152357,0.6276241283253268,0.665664094966789,0.4658234930587838,M
22,0.7942483485527616,0.9947327052723705,0.4580937138516188,0.9494767892815072,0.9649454450984571,M
23,0.25464549429109806,0.06365062491988922,0.13115342279529618,0.09414036440465177,0.02187001254429395,R
24,0.5675007110805912,0.6382937302634745,0.42688106529983977,0.7571323457367385,0.960736394082985,M
25,0.07436997403117217,0.385482331928192,0.4116521167532675,0.037517957180845385,0.26265541414665794,R
26,0.471859753147158,0.4504378563814706,0.3100588457821858,0.34841627216016713,0.5546727965435877,R
27,0.6566683609911512,0.9095245658975236,0.9033201033187791,0.7579656142272888,0.7410156726705246,M
28,0.25569513872689625,0.5727317659230517,0.5714201521853335,0.22433811263569597,0.11543078387200907,R
29,0.11022322007145029,0.20295238119439762,0.10293271011793327,0.39234141838372877,0.5597629469788791,R
30,0.987667690956108,0.45169375075846646,0.47819204937262383,0.7009008128470844,0.5824895423923825,M
31,0.9011958772963564,0.6030936876337953,0.6470641171449686,0.705469832454408,0.7221556582425597,M
32,0.45313792218987964,0.9114705922347247,0.45646099477024393,0.6479730165031989,0.5178127113937299,M
33,0.011969279132134417,0.3391770746302613,0.06901296967075078,0.30352012280383955,0.5028337634124489,R
34,0.42759706672832687,0.5341605721023193,0.09433124685264316,0.29633575350582675,0.46227808990752783,R
35,0.5806679085184238,0.7111110544780653,0.4682083731940523,0.9582510455503874,0.807484625698417,M
36,0.6948204721112922,0.8324544824133193,0.605576574519771,0.7252071051465868,0.5006758603450989,M
37,0.2675246996168623,0.1252399611822195,0.29786598539461884,0.34428486655940393,0.43722324488346753,R
38,0.8418861649798941,0.8037059420471717,0.5777318658963009,0.9177365314033488,0.6955986389967972,M
39,0.12989227058757172,0.47445677721439794,0.12985304617107807,0.08077412632028644,0.37138168470078886,R
40,0.052999600656593225,0.5643544314939123,0.5720727856786765,0.11146514844301383,0.35654119731374195,R
41,0.07918191636835538,0.06172861903876303,0.49932359005639254,0.09040988259303079,0.20629780080913215,R
42,0.5234888608389157,0.502024459527971,0.568375149888912,0.10904935867570953,0.2867061166621879,R
43,0.7852245157820906,0.788393530105636,0.8652738599667142,0.51418125640349,0.8972951848584168,M
44,0.8781345047440439,0.8690535708870855,0.864662463232875,0.8447190099460313,0.9011315152682755,M
45,0.6087664469779006,0.45199723625876387,0.9134826535395077,0.9061017896267889,0.9659718967656061,M
46,0.3206450930806562,0.13836721380215858,0.4720906729319609,0.03515140309010973,0.4045221985246919,R
47,0.47123781106829704,0.4132044614533014,0.289583782295578,0.32485545578650055,0.5250975098854362,R
48,0.7059570426711661,0.8704189182352318,0.8889242269320787,0.5832732839540484,0.7404121796085354,M
49,0.26235488011563735,0.40979829497724674,0.12403688217830273,0.07831579950906611,0.2656928666329294,R
50,0.238556008218945,0.212347029968393,0.5357655813664022,0.19160991251403653,0.22496549567403532,R
51,0.833669505084413,0.9037527805411883,0.45236706329076193,0.8801195492718927,0.5481514707492642,M
52,0.12285030711577234,0.15795257295994578,0.05525853098501998,0.5247169196213517,0.49186115240212436,R
53,0.4358617269563035,0.12023777604818024,0.5214811656567571,0.392211099118374,0.1062624522471734,R
54,0.8005721927614804,0.43722149936923604,0.93902391181437,0.9913120780137199,0.6785968240347261,M
55,0.6345630445811723,0.9154715564945659,0.769752851015112,0.6512524463896531,0.9602995971855341,M
56,0.17348391991628412,0.47276698845261605,0.14937731454397707,0.2340171768829999,0.54338687208116,R
